START ZONE,PRIMARY,DIRECTIONS 1,IMAGE URL 1,DIRECTIONS 2,IMAGE URL 2,DIRECTIONS 3,IMAGE URL 3
OutZone 3,B32,Take stairs up,https://i.imgur.com/uq23UVl.jpg

OutZone 4,B13,Down the main path,https://i.imgur.com/yQ2Rqdq.jpg
OutZone 4,B14,Down the main path,https://i.imgur.com/RHVdxFK.jpg

OutZone 5,B15,Towards the main path,https://i.imgur.com/O4juTeY.jpg
OutZone 5,B16,Enter Food Court doors,https://i.imgur.com/aIYcYbz.jpg
OutZone 5,B17,Enter Food Court doors,https://i.imgur.com/rMOME2B.jpg
OutZone 5,B35,Enter Food Court doors,https://i.imgur.com/RvBcsWd.jpg

OutZone 6,B14,Down the main path,https://i.imgur.com/FAT5DX7.jpg
OutZone 6,B15,Turn towards food court,https://i.imgur.com/3qsXbv9.jpg
OutZone 6,B29,Down the main path,https://i.imgur.com/MUDmVgJ.jpg

OutZone 7,B27,Down the main path,https://i.imgur.com/fPdzBgj.jpg
OutZone 7,B28,Enter these doors,https://i.imgur.com/YeDcDTQ.jpg
OutZone 7,B29,Down the main path,https://i.imgur.com/cj6M7eo.jpg
OutZone 7,B50,Down the path,https://i.imgur.com/Vtxf2Dj.jpg

OutZone 8,B26,Down the path,https://i.imgur.com/9wHg3TN.jpg
OutZone 8,B27,Down the path,https://i.imgur.com/kxxWBpU.jpg
OutZone 8,B30,Take right towards Zot-N-Go,https://i.imgur.com/xRadE6Y.jpg

OutZone 9,B30,Continue straight,https://i.imgur.com/XEBeRKj.jpg
OutZone 9,B31,Take stairs by Zot-N-Go,https://i.imgur.com/UxGcKy2.jpg

OutZone 10,B24,Down the ramp near Starbucks,https://i.imgur.com/iMVBjDH.jpg
OutZone 10,B26,Go down this path,https://i.imgur.com/XYhGGIp.jpg
OutZone 10,B48,Take stairs near the Hill,https://i.imgur.com/FXVMo1J.jpg

OutZone 11,B22,Down the ramp near Starbucks,https://i.imgur.com/iMVBjDH.jpg,Continue straight,https://i.imgur.com/IyLDbJS.jpg
OutZone 11,B23,Down the ramp near Starbucks,https://i.imgur.com/iMVBjDH.jpg,Continue straight,https://i.imgur.com/Rd4gxO3.jpg,Enter building,https://i.imgur.com/SPxXblS.jpg
OutZone 11,B24,Up the ramp near Starbucks,https://i.imgur.com/UYhvShe.jpg,Turn right,https://i.imgur.com/RUKd9JW.jpg
OutZone 11,B25,Take right past Starbucks,https://i.imgur.com/LOUrwhm.jpg,Continue past Starbucks,https://i.imgur.com/ZY5Nyxu.jpg,Enter building,https://i.imgur.com/NzdMQDf.jpg
OutZone 11,B33,Enter Starbucks,https://i.imgur.com/gV6PeXs.jpg
OutZone 11,B34,Enter building,https://i.imgur.com/9J8crIe.jpg
OutZone 11,B38,Continue straight past Starbucks,https://i.imgur.com/fvr8Fnr.jpg,Turn left to enter building,https://i.imgur.com/NObKDHc.jpg
OutZone 11,B48,Take right past Starbucks,https://i.imgur.com/5eL4lRm.jpg,Take stairs up,https://i.imgur.com/3TfJdN9.jpg
OutZone 11,B49,Continue past Starbucks,https://i.imgur.com/ZY5Nyxu.jpg,Continue straight,https://i.imgur.com/80efIwX.jpg

OutZone 12,B20,Through doors downstairs,https://i.imgur.com/6tTh0tU.jpg
OutZone 12,B21,Continue straight,https://i.imgur.com/5NtMBjV.jpg
OutZone 12,B22,Continue straight,https://i.imgur.com/m4zVAPA.jpg

OutZone 13,B9,Take stairs up,https://i.imgur.com/9BPVrTu.jpg
OutZone 13,B39,Take a slight left,https://i.imgur.com/4JACHGq.jpg
OutZone 13,B45,Turn right,https://i.imgur.com/tmxJ0bJ.jpg

OutZone 14,B39,Continue straight; then left,https://i.imgur.com/Z2GdSLr.jpg
OutZone 14,B40,Continue straight; then right,https://i.imgur.com/e0Pb2FC.jpg

OutZone 15,B21,Continue straight,https://i.imgur.com/6EHFzfB.jpg
OutZone 15,B41,Continue straight,https://i.imgur.com/XiKwSK6.jpg

OutZone 16,A25,Go down to the sidewalk,https://i.imgur.com/aoQYCqu.jpg,Turn left and continue straight,https://i.imgur.com/azbjaHa.jpg
OutZone 16,A26,Continue on the path,https://i.imgur.com/rRx9Bcx.jpg

OutZone 22,C1,Enter these doors,https://i.imgur.com/98a9IFx.jpg
OutZone 22,C2,Take stairs down,https://i.imgur.com/RzpcEGo.jpg

OutZone 23,C4,Take the stairs,https://i.imgur.com/M9Kir2O.jpg
OutZone 23,C5,Enter through doors,https://i.imgur.com/BgywC2v.jpg

OutZone  24,C9,Enter through doors,https://i.imgur.com/hdsp35l.jpg
OutZone  24,C10,Go towards stairs,https://i.imgur.com/iHMxhm5.jpg

OutZone 25,D1,Take stairs down,https://i.imgur.com/a2eMG5m.jpg
OutZone 25,D2,Enter through door,https://i.imgur.com/2TM7Dj0.jpg
