START ZONE,SECONDARY,DIRECTIONS 1,IMAGE URL 1,DIRECTIONS 2,IMAGE URL 2,DIRECTIONS 3,IMAGE URL 3
Zone 22,S81,Continue straight,https://i.imgur.com/rXCyhCK.jpg,Take a slight left,https://i.imgur.com/P06rZeW.jpg
Zone 22,S82,Take a slight right through doors,https://i.imgur.com/AVERJ8t.jpg,Take a slight left through doors,https://i.imgur.com/BaAaAlI.jpg
Zone 22,S83,Take a slight right through doors,https://i.imgur.com/AVERJ8t.jpg,Take a slight right through doors,https://i.imgur.com/gUQQB5I.jpg

Zone 23,S84,Enter door near elevator,https://i.imgur.com/FdjhqDB.jpg
Zone 23,S85,Down this hall,https://i.imgur.com/JYbBcOw.jpg,Enter door,https://i.imgur.com/AIifikU.jpg

Zone 24,S86,Down this end of hall,https://i.imgur.com/uaku62j.jpg,Enter door at end of hall,https://i.imgur.com/7a0eTxa.jpg
Zone 24,S87,Down this end of hall,https://i.imgur.com/uaku62j.jpg,Enter this door,https://i.imgur.com/WEl9waB.jpg
Zone 24,S88,Doors near this end of hall,https://i.imgur.com/ki4q442.jpg
Zone 24,S89,Enter door at end of hall,https://i.imgur.com/GPfvrPn.jpg

Zone 25,S90,Through doors at end of hall,https://i.imgur.com/ywzETqG.jpg

OutZone 1,S53,Take a slight left,https://i.imgur.com/Q86yFfX.jpg

OutZone 2,S54,Continue straight,https://i.imgur.com/inwlKgS.jpg,Take a slight left through doors,https://i.imgur.com/BLNWp0K.jpg
OutZone 2,S55,Continue straight,https://i.imgur.com/inwlKgS.jpg,Turn right,https://i.imgur.com/9Fmrb45.jpg
OutZone 2,S56,Continue straight,https://i.imgur.com/inwlKgS.jpg,Take a slight left,https://i.imgur.com/LfIZNfF.jpg

OutZone 3,S58,Continue straight through doors,https://i.imgur.com/LvUld1U.jpg

OutZone 4,S59,Continue straight,https://i.imgur.com/YbCjMdf.jpg,Take a slight right through doors,https://i.imgur.com/UfOtRVa.jpg

OutZone 5,S63,Continue straight,https://i.imgur.com/5ffyfIZ.jpg,Take a slight right,https://i.imgur.com/AdxhswP.jpg
OutZone 5,S64,Continue straight,https://i.imgur.com/zJ2zCHd.jpg,Continue straight; then take slight right,https://i.imgur.com/3WZz0FB.jpg

OutZone 6,S60,Take a slight left,https://i.imgur.com/zpzs23J.jpg,Continue straight through doors,https://i.imgur.com/RUUSQ46.jpg
OutZone 6,S61,Take a slight left,https://i.imgur.com/zpzs23J.jpg,Continue straight through doors,https://i.imgur.com/3PDMfCp.jpg

OutZone 7,S75,Continue straight,https://i.imgur.com/wnrQA2P.jpg,Take a slight left through doors,https://i.imgur.com/sa71l1T.jpg

OutZone 9,S74,Continue straight,https://i.imgur.com/JGnn0v2.jpg,Take a slight left through doors,https://i.imgur.com/vffQJNJ.jpg

OutZone 11,S73,Continue straight,https://i.imgur.com/ZY5Nyxu.jpg,Take a slight right through doors,https://i.imgur.com/mfmnNN2.jpg

OutZone 22,S77,Go down this path,https://i.imgur.com/tzP0Wwh.jpg,Take a slight right through doors,https://i.imgur.com/VPy8plm.jpg
